LON,LAT,CUR,what
-79.833333,10.833333,  2.4482811e+001,
-79.666667,10.833333,  2.3830324e+001,
-79.5,10.833333,  2.3235712e+001,
-79.333333,10.833333,  2.2954733e+001,
-79.166667,10.833333,  2.3242891e+001,
-79.0,10.833333,  2.4027792e+001,
-78.833333,10.833333,  2.5301702e+001,
-78.666667,10.833333,  2.6959906e+001,
-78.5,10.833333,  2.8623943e+001,
-78.333333,10.833333,  3.0352062e+001,
-78.166667,10.833333,  3.2197117e+001,
-78.0,10.833333,  3.3868267e+001,
-77.833333,10.833333,  3.5161942e+001,
-77.666667,10.833333,  3.6259758e+001,
-77.5,10.833333,  3.7321064e+001,
-77.333333,10.833333,  3.8725906e+001,
-77.166667,10.833333,  4.0187256e+001,
-77.0,10.833333,  4.1170074e+001,
-76.833333,10.833333,  4.0911407e+001,
-76.666667,10.833333,  4.0204487e+001,
-76.5,10.833333,  3.9691971e+001,
-76.333333,10.833333,  3.9379307e+001,
-76.166667,10.833333,  3.9231274e+001,
-76.0,10.833333,  3.8871151e+001,
-75.833333,10.833333,  3.8667156e+001,
-75.666667,10.833333,  3.8699097e+001,
-75.5,10.833333,  3.8882954e+001,
-75.333333,10.833333,  3.9217411e+001,
-75.166667,10.833333,  3.9475727e+001,
-75.0,10.833333,  3.9803131e+001,
-74.833333,10.833333,  4.0127090e+001,
-74.666667,10.833333,  4.0283459e+001,
-74.5,10.833333,  4.0530491e+001,
-74.333333,10.833333,  4.0788605e+001,
-74.166667,10.833333,  4.0855869e+001,
-74.0,10.833333,  4.0705994e+001,
-73.833333,10.833333,  4.0267857e+001,
-73.666667,10.833333,  3.9822842e+001,
-73.5,10.833333,             NaN,
-73.333333,10.833333,             NaN,
-73.166667,10.833333,             NaN,
-73.0,10.833333,             NaN,
-72.833333,10.833333,  3.6811329e+001,
-72.666667,10.833333,  3.6122875e+001,
-72.5,10.833333,  3.5256199e+001,
-72.333333,10.833333,  3.3749844e+001,
-72.166667,10.833333,  3.2244518e+001,
-72.0,10.833333,  3.1769894e+001,
-71.833333,10.833333,  3.1923553e+001,
-71.666667,10.833333,  3.2583344e+001,
-71.5,10.833333,  3.3440464e+001,
-71.333333,10.833333,  3.4635220e+001,
-71.166667,10.833333,  3.5709858e+001,
-71.0,10.833333,  3.5829708e+001,
-70.833333,10.833333,  3.5575584e+001,
-70.666667,10.833333,  3.5112591e+001,
-70.5,10.833333,  3.5064754e+001,
-70.333333,10.833333,  3.5314968e+001,
-70.166667,10.833333,  3.5312840e+001,
-70.0,10.833333,  3.5279865e+001,
-69.833333,10.833333,  3.5164268e+001,
-69.666667,10.833333,  3.4706791e+001,
-69.5,10.833333,  3.4185436e+001,
-69.333333,10.833333,  3.3847614e+001,
